,REQUEST_GUID,FORM_ID,COUNTRY,USAGE,UPDATE_DT,FUNCTION,RESULT_INDICATOR,OPERATOR,LIMIT,UNIT,HIGH_OPERATOR,HIGH_LIMIT,CITATION,REGLINK,COMMENTS,CITATION_UPDATE_IN_PROGRESS,REGULATION_NAME
1012343,20211122226,215389,Codex,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried]   **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012344,20211122226,215389,Cook Islands,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012345,20211122226,215389,Niue,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012349,20211122226,215389,Congo,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012350,20211122226,215389,Gabon,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012351,20211122226,215389,East African Community,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012352,20211122226,215389,French West Indies,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012353,20211122226,215389,Montserrat,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,EU Pesticides Database: Regulation (EC) 396/2005 as amended - Thiamethoxam,doc=eu_pest_en.pdf&pg=1,**Citation details:**<br>    **Substance:** Thiamethoxam **function:** Pesticides  **usage:** 0610000 Teas **country:** European Union  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012354,20211122226,215389,Mauritania,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012355,20211122226,215389,New Caledonia,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,EU Pesticides Database: Regulation (EC) 396/2005 as amended - Thiamethoxam,doc=eu_pest_en.pdf&pg=1,**Citation details:**<br>    **Substance:** Thiamethoxam **function:** Pesticides  **usage:** 0610000 Teas **country:** European Union  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
